Registration Group,Support Item,Support Item Number,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Personal Activities High,"grp based community, social and recreational activities - higher intensity",04_116_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,37.19,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher intensity - Saturday",04_117_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,53.62,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher intensity - Sunday",04_118_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,71.48,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher intensity - weekday evening",04_119_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 2 persons per staff member.",Hour,N,40.81,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"grp bd community, social and rec activities - ratio 1:3",04_120_0136_6_1,"Community, social and recreation activities in a group at a 1:3 ratio",Hour,N,18.98,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"grp bd community, social and rec activities - Saturday - ratio 1:3",04_121_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays at a 1:3 ratio",Hour,N,26.1,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"grp bd community, social and rec activities - Sunday - ratio 1:3",04_122_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays at a 1:3 ratio",Hour,N,33.2,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"grp bd community, social and rec activities - weekday evening - ratio 1:3",04_123_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm at a 1:3 ratio",Hour,N,20.77,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher intensity - ratio 1:3",04_124_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,24.79,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher int - Saturday - ratio 1:3",04_125_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,35.74,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher int - Sunday - ratio 1:3",04_126_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,47.65,Y,Assistance with social and community participation,4
Personal Activities High,"grp bd community, social and rec activities - higher int - weekday evening - 1:3",04_127_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 3 persons per staff member.",Hour,N,27.21,Y,Assistance with social and community participation,4
Assist Prod-Pers Care/Safety,"cooling vest- small, medium, large",05_043006001_0103_1_2,vest used for people with thermoregulatory problems,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure mattress air filled section,05_043306002_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure reduction mattress,05_043306003_0103_1_2,mattress with pressure reduction properties,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure reduction overlay,05_043306004_0103_1_2,"overlay with air or other substance, mechanical or not",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"pressure mattress - low air loss, alternating pressure",05_043306005_0103_1_2,"Mattress for very complex needs, usually for participants in bed for most of the day and night.",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,water chairs,05_043318006_0103_1_2,chairs with full pressure relief via water filled inserts,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame- child under 5,05_053603007_0103_1_2,apparatus to hold a person in a standing position,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame child over 5 or teen,05_053603008_0103_1_2,apparatus to hold a person in a standing position,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame adult,05_053603009_0103_1_2,apparatus to hold a person in a standing position,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,body orthotic - dynamic/lycra,05_060318012_0135_1_2,body orthotic - dynamic/lycra,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,hand splints,05_060606010_0135_1_2,hand splints provided as part of a shorter term therapy program,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,"upper limb orthotic - dynamic, lycra",05_060688011_0135_1_2,Lycra or other splints designed to improve functioning.,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,custom foot supports,05_061203014_0135_1_2,Foot supports or restraints for a wheelchair where conventional supports do not suffice.,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,foot orthoses,05_061203015_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,Orthopaedic shoes - other custom made,05_061203041_0135_1_2,Pair of shoes made for a participant who is unable to fit off the shelf or specialist shoes.,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,Orthopaedic shoes - to compensate for muscle weakness/activity,05_061203042_0135_1_2,Pair of shoes with extra depth or width that are commercially available,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,Orthopaedic shoes to add to the length of the leg and foot i.e. shoe raise,05_061203043_0135_1_2,adjustments to regular shoes required due to disability,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,ankle-foot orthoses prefabricated- average price,05_061206016_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,ankle-foot orthoses prefabricated sizes 1-4,05_061206017_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,"ankle-foot orthoses prefabricated reg, large, xlge",05_061206018_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,ankle-foot orthoses ankle joint,05_061206019_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,ankle-foot orthoses (AFO) static custom made,05_061206020_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,knee orthoses,05_061209021_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,knee-ankle-foot orthoses,05_061212022_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,leg orthoses,05_061213023_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,hip orthoses,05_061215024_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,hip-knee orthoses,05_061216025_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,thigh orthoses,05_061217026_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,lower limb orthotic - dynamic/lycra,05_061218013_0135_1_2,lower limb orthotic - dynamic/lycra,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,hip-knee-ankle-foot orthoses,05_061218027_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,thoracolumbar/lumbo-sacral - hip - knee - ankle - foot orthoses,05_061219028_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,partial hand prostheses,05_061803029_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,wrist disarticulation prostheses,05_061806030_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,trans-radial prostheses,05_061809031_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,trans-humeral prostheses,05_061815032_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,forequarter amputation prostheses,05_061821033_0135_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,adaptions for arm and hand prosthetics for sport and leisure,05_061826297_0112_1_2,terminal device to enable participation in sport,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,partial foot prostheses,05_062403035_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,ankle disarticulation prostheses,05_062406036_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,trans-tibial prostheses,05_062409037_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,trans-femoral prostheses,05_062415038_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,hip disarticulation prostheses,05_062418039_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,trans-pelvic prostheses,05_062421040_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,lower limb prostheses - other,05_062488034_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,specialist prosthetic lower limb for sports,05_062488298_0135_1_2,,Each,Y,,N,Assistive technology,5
Custom Prosthetics                                      ,prosthetic lower limb suitable for wet environments,05_062488299_0135_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,helmets,05_090603045_0103_1_2,protective helmet for people with seizures or falls etc,Each,N,,N,Assistive technology,5
Vehicle modifications                                       ,wheelchair-based restraint system,05_090703371_0109_1_2,,Each,Y,,N,Assistive technology,5
Assist Products for Personal Care and Safety ,one or more small devices to assist with dressing and undressing,05_090900046_0103_1_2,one or more small devices to assist with dressing and undressing,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode adjustable folding,05_091203047_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode adjustable height,05_091203048_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode extra wide,05_091203049_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode bari 650mm w,05_091203050_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- self propel folding,05_091203052_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- low transporter,05_091203053_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- bari transporter- 550w,05_091203054_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- child transporter,05_091203055_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- child self propel,05_091203056_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- potty child,05_091203057_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- potty junior,05_091203058_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- transporter slide hi,05_091203059_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- specialised child with supports,05_091203060_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet surround adjustable,05_091212061_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet surround padded arms,05_091212062_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,raised toilet seats fixed to toilet,05_091218063_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise adjustable,05_091221064_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise adjustable wide,05_091221065_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise folding,05_091221066_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise - extra wide,05_091221067_0103_1_2,seat toilet raise - extra wide,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,arm and back supports mounted on toilet,05_091224068_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"arm supports and toilet back supports, free-standing",05_091225069_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bathing care and grooming aids,05_093300317_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bath support for child under 5,05_093303078_0103_1_2,"Postural support inserted into a bath or placed on a stand, for a child unable to sit unaided safely.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bath support over 5 years,05_093303079_0103_1_2,"Postural support inserted into a bath or placed on a stand, for a participant unable to sit or recline unaided safely.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bathboard plastic no handle,05_093304076_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bath corner seat size 1,05_093305077_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower adjustable with arms wide,05_093307070_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower bariatric (>150kg),05_093307071_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower swivel type,05_093307072_0103_1_2,e.g. myco,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,stool shower adjustable,05_093307073_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,stool shower adjustable with arms  and/or back,05_093307074_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,specialised shower trolley,05_093312075_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,change table- electronic,05_093312080_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,change table manual,05_093312081_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bidets- detachable,05_093318082_0103_1_2,equipment attached to toilet with air and water dispenser for washing following toileting,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,insert for reducing length or depth of a bathtub,05_093327083_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,specialised seating for bathroom equipment,05_093330084_0103_1_2,custom made seating for shower commode or like bathroom item.,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,personal care and safety equipment- other,05_098800044_0103_1_2,"Includes other reasonable and necessary personal care and safety equipment not listed, due to impact of participant's disability.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,walking sticks and canes,05_120303085_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,quadrapod walking stick,05_120303086_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,elbow crutches,05_120306087_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,forearm support crutches,05_120309088_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,walking frame,05_120603089_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,walking frame- bariatric 180 kg,05_120603090_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame bariatric,05_120606091_0105_1_2,Wheeled walker with frame for a participant with an increased weight in obese range.,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame 6 wheel,05_120606092_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame junior gutter,05_120606093_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame adult gutter,05_120606094_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheeled walker-walker posterior,05_120606095_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,four wheeled walker with brakes and seat,05_120606096_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment ,rollator- mini,05_120606097_0105_1_2,rollator- mini,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,rollator with supports,05_120606098_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,walking chairs for children aka gait trainers,05_120609099_0105_1_2,devices with a sling or seat that support the body when walking,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,walking tables,05_120612100_0105_1_2,devices with wheels and supporting table or forearm support,Each,N,,N,Assistive technology,5
Vehicle modifications                                       ,adaptions to control speed of car,05_121204356_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,adapted brake/parking brake,05_121205357_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,adapted steering system for car,05_121207358_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,"adapted mirrors, door locks for car",05_121208359_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,seat belts/harnesses for vehicles,05_121209360_0109_1_2,,Each,N,,N,Assistive technology,5
Vehicle modifications                                       ,specialised child car seats,05_121212355_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,adapted seating in vehicles,05_121212361_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,vehicle hoists person only,05_121215362_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,vehicle adaption for wheelchair passenger,05_121218363_0109_1_2,Hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,adapt vehicle self driver+ wheelchair,05_121218364_0109_1_2,"Remote access, basic self drive plus vehicle hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required",Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,adapt car self-drive electro mechanical,05_121218365_0109_1_2,"Costs related to installing self-drive equipment. Includes installation automated doors, wheelchair docking, adaptions to steering, brake, gears and installation of electro mechanical controls.",Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,car modifications - self drive from driver seat,05_121218366_0109_1_2,Includes spinners and accelerator control.,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,ramps to place wheelchair in vehicle without occupant,05_121221354_0109_1_2,,Each,N,,N,Assistive technology,5
Vehicle modifications                                       ,car mounted hoist for wheelchair or scooter,05_121221367_0109_1_2,Electronic or mechanical hoist mounted to car to lift wheelchair or scooter for transport.,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,tie downs for vehicle,05_121224368_0109_1_2,system to hold a wheelchair safely and steady whilst in transit- not for restraining the occupant,Each,N,,N,Assistive technology,5
Vehicle modifications                                       ,adapt vehicle chassis and body,05_121227369_0109_1_2,,Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,trailers to carry wheelchairs,05_121230370_0109_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,hand-propelled bicycles,05_121805101_0112_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,specialist tricycles or quadricycle - foot propelled,05_121806409_0112_1_2,specialist tricycles or quadricycle - foot propelled,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,specialist tricycles or quadricycle - hand propelled,05_121809102_0112_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,disability specific cycle adaptions,05_121821103_0112_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manually propelled- average folding,05_122203104_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual- basic folding adult,05_122203105_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual transit adult,05_122203106_0105_1_2,"Wheelchairs that cannot be self-propelled, so are propelled by an attendant.",Each,N,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual child folding,05_122203107_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult folding,05_122203108_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom child folding,05_122203109_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult bariatric,05_122203110_0105_1_2,Manual wheelchair for person with increased weight in obese range.,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom adult rigid frame,05_122203111_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom made steel frame,05_122203112_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom made lightweight frame,05_122203113_0105_1_2,"Frame that is made to individual measurements. Made of titanium, aluminium or other lightweight material.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual custom child rigid frame,05_122203114_0105_1_2,frame is made to individual measurements,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual tilt in space- adult,05_122203115_0105_1_2,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual tilt in space- child,05_122203116_0105_1_2,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual + customised seating,05_122203117_0105_1_2,wheelchair and customised seating,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual amputee,05_122203118_0105_1_2,"Manual wheelchair. For example, balanced for lower limb amputee.",Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,wheelchair - track racing,05_122203291_0112_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual- one arm drive/lever,05_122209119_0105_1_2,manual wheelchair propelled by lever or dual hand rims,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- manual + power assisted wheels,05_122212120_0105_1_2,manual wheelchair with powered wheels that amplify pushing effort,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,wheelchair - beach/sand capable - push,05_122218293_0112_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,scooters- 3 wheels,05_122303121_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,scooters- 4 wheels,05_122303122_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,scooters- 4 wheels heavy duty,05_122303123_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult folding RWD,05_122306124_0105_1_2,Rear wheel drive power chair which folds when disassembled.,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult RWD,05_122306125_0105_1_2,rear wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic adult MWD,05_122306126_0105_1_2,mid wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic child RWD,05_122306127_0105_1_2,rear wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered basic child MWD,05_122306128_0105_1_2,mid wheel drive,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space adult RWD,05_122306129_0105_1_2,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space adult MWD,05_122306130_0105_1_2,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered recline or leg elevation,05_122306131_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space child RWD,05_122306132_0105_1_2,rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered tilt in space child MWD,05_122306133_0105_1_2,mid wheel drive with seat and back rest able to be tipped as a unit past 90 degrees,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline adult RWD",05_122306134_0105_1_2,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline adult MWD",05_122306135_0105_1_2,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline child RWD",05_122306136_0105_1_2,"Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"wheelchair- powered TIS, recline child MWD",05_122306137_0105_1_2,"Mid wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered seat elevation,05_122306138_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered with powered standing mechanism,05_122306139_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered four wheel drive wheelchair,05_122306140_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered - bariatric over 200kg,05_122306141_0105_1_2,Powered wheelchair for person with increased weight in obese range.,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered attendant controlled,05_122312142_0105_1_2,powered chair with attendant control instead of or as well as participant control,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair- powered stair climbing,05_122315143_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair alternate controls,05_122403144_0105_1_2,controls other than joy stick,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"pram or stroller accessories - extra supports, oversized pram",05_122707145_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,pram or stroller- oversized,05_122707146_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,pram or stroller- specialised with adjustable seating,05_122707147_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,alternate base for stroller,05_122707148_0105_1_2,Hi lo or other base for specialised stroller seating,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,crawlers and mobility boards,05_122715149_0105_1_2,floor level cart or wheel device for floor mobility,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheeled stretcher- self propelled,05_122718150_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,transfer equipment- slide sheet,05_123103151_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,board transfer wood,05_123103152_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,car transfer pad,05_123103153_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,transfer turn table,05_123106154_0105_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed sticks- standard,05_123109155_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed sticks-townsend long,05_123109156_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed pole for electric bed,05_123109157_0103_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,grip ladder,05_123112158_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,transfer belt,05_123115159_0105_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bath transfer bench no back,05_123121160_0103_1_2,,Each,N,,N,Assistive technology,5
