"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure n","Unit of Measure n+1","Quote n","Quote n+1","Price Limit n","Price Limit n+1","Price Control n","Price Control n+1","Line number n","Line number n+1"
"04_118_0104_6_1","grp bd community, social and rec activities - higher intensity - Sunday","Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","57.18","57.18","Y","Y",130,133
"04_119_0104_6_1","grp bd community, social and rec activities - higher intensity - weekday evening","Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 2 persons per staff member.","Assistance with social and community participation","Hour","H","N","N","32.65","32.65","Y","Y",131,134
"04_120_0136_6_1","grp bd community, social and rec activities - ratio 1:3","Community, social and recreation activities in a group at a 1:3 ratio","Assistance with social and community participation","Hour","H","N","N","15.18","20.26","Y","Y",132,135
"04_121_0136_6_1","grp bd community, social and rec activities - Saturday - ratio 1:3","Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays at a 1:3 ratio","Assistance with social and community participation","Hour","H","N","N","20.88","27.87","Y","Y",133,136
"04_122_0136_6_1","grp bd community, social and rec activities - Sunday - ratio 1:3","Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays at a 1:3 ratio","Assistance with social and community participation","Hour","H","N","N","26.56","35.46","Y","Y",134,137
"04_123_0136_6_1","grp bd community, social and rec activities - weekday evening - ratio 1:3","Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm at a 1:3 ratio","Assistance with social and community participation","Hour","H","N","N","16.62","22.17","Y","Y",135,138
"04_124_0104_6_1","grp bd community, social and rec activities - higher intensity - ratio 1:3","Community, social and recreational activities in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","19.83","21.96","Y","Y",136,139
"04_125_0104_6_1","grp bd community, social and rec activities - higher int - Saturday - ratio 1:3","Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","28.59","31.66","Y","Y",137,140
"04_126_0104_6_1","grp bd community, social and rec activities - higher int - Sunday - ratio 1:3","Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","38.12","42.2","Y","Y",138,141
"04_127_0104_6_1","grp bd community, social and rec activities - higher int - weekday evening - 1:3","Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 3 persons per staff member.","Assistance with social and community participation","Hour","H","N","N","21.77","24.1","Y","Y",139,142
"05_043006001_0103_1_2","cooling vest- small, medium, large","vest used for people with thermoregulatory problems","Assistive technology","Each","EA","N","N","","","N","N",140,217
"05_043306002_0103_1_2","pressure mattress air filled section","","Assistive technology","Each","EA","N","N","","","N","N",141,218
"05_043306003_0103_1_2","pressure reduction mattress","mattress with pressure reduction properties","Assistive technology","Each","EA","Y","Y","","","N","N",142,219
"05_043306004_0103_1_2","pressure reduction overlay","overlay with air or other substance, mechanical or not","Assistive technology","Each","EA","Y","Y","","","N","N",143,220
"05_043306005_0103_1_2","pressure mattress - low air loss, alternating pressure","Mattress for very complex needs, usually for participants in bed for most of the day and night.","Assistive technology","Each","EA","Y","Y","","","N","N",144,221
"05_043318006_0103_1_2","water chairs","chairs with full pressure relief via water filled inserts","Assistive technology","Each","EA","Y","Y","","","N","N",145,222
"05_053603008_0103_1_2","standing frame child over 5 or teen","apparatus to hold a person in a standing position","Assistive technology","Each","EA","Y","Y","","","N","N",147,223
"05_053603009_0103_1_2","standing frame adult","apparatus to hold a person in a standing position","Assistive technology","Each","EA","Y","Y","","","N","N",148,224
"05_060318012_0135_1_2","body orthotic - dynamic/lycra","body orthotic - dynamic/lycra","Assistive technology","Each","EA","Y","Y","","","N","N",149,226
"05_060606010_0135_1_2","hand splints","hand splints provided as part of a shorter term therapy program","Assistive technology","Each","EA","N","N","","","N","N",150,227
"05_060688011_0135_1_2","upper limb orthotic - dynamic, lycra","Lycra or other splints designed to improve functioning.","Assistive technology","Each","EA","N","N","","","N","N",151,228
"05_061203015_0135_1_2","foot orthoses","","Assistive technology","Each","EA","N","N","","","N","N",153,229
"05_061203041_0135_1_2","Orthopaedic shoes - other custom made","Pair of shoes made for a participant who is unable to fit off the shelf or specialist shoes.","Assistive technology","Each","EA","Y","Y","","","N","N",154,230
"05_061203042_0135_1_2","Orthopaedic shoes - to compensate for muscle weakness/activity","Pair of shoes with extra depth or width that are commercially available","Assistive technology","Each","EA","N","N","","","N","N",155,231
"05_061203043_0135_1_2","Orthopaedic shoes to add to the length of the leg and foot i.e. shoe raise","adjustments to regular shoes required due to disability","Assistive technology","Each","EA","N","N","","","N","N",156,232
"05_061206016_0135_1_2","ankle-foot orthoses prefabricated- average price","","Assistive technology","Each","EA","N","N","","","N","N",157,233
"05_061206017_0135_1_2","ankle-foot orthoses prefabricated sizes 1-4","","Assistive technology","Each","EA","N","N","","","N","N",158,234
"05_061206018_0135_1_2","ankle-foot orthoses prefabricated reg, large, xlge","","Assistive technology","Each","EA","N","N","","","N","N",159,235
"05_061206019_0135_1_2","ankle-foot orthoses ankle joint","","Assistive technology","Each","EA","Y","Y","","","N","N",160,236
"05_061206020_0135_1_2","ankle-foot orthoses (AFO) static custom made","","Assistive technology","Each","EA","N","N","","","N","N",161,237
"05_061209021_0135_1_2","knee orthoses","","Assistive technology","Each","EA","N","N","","","N","N",162,238
"05_061212022_0135_1_2","knee-ankle-foot orthoses","","Assistive technology","Each","EA","Y","Y","","","N","N",163,239
"05_061213023_0135_1_2","leg orthoses","","Assistive technology","Each","EA","Y","Y","","","N","N",164,240
"05_061215024_0135_1_2","hip orthoses","","Assistive technology","Each","EA","N","N","","","N","N",165,241
"05_061216025_0135_1_2","hip-knee orthoses","","Assistive technology","Each","EA","N","N","","","N","N",166,242
"05_061217026_0135_1_2","thigh orthoses","","Assistive technology","Each","EA","N","N","","","N","N",167,243
"05_061218013_0135_1_2","lower limb orthotic - dynamic/lycra","lower limb orthotic - dynamic/lycra","Assistive technology","Each","EA","Y","Y","","","N","N",168,244
"05_061218027_0135_1_2","hip-knee-ankle-foot orthoses","","Assistive technology","Each","EA","Y","Y","","","N","N",169,245
"05_061219028_0135_1_2","thoracolumbar/lumbo-sacral - hip - knee - ankle - foot orthoses","","Assistive technology","Each","EA","Y","Y","","","N","N",170,246
"05_061803029_0135_1_2","partial hand prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",171,247
"05_061806030_0135_1_2","wrist disarticulation prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",172,248
"05_061809031_0135_1_2","trans-radial prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",173,249
"05_061815032_0135_1_2","trans-humeral prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",174,250
"05_061821033_0135_1_2","forequarter amputation prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",175,251
"05_061826297_0112_1_2","adaptions for arm and hand prosthetics for sport and leisure","terminal device to enable participation in sport","Assistive technology","Each","EA","N","N","","","N","N",176,252
"05_062403035_0135_1_2","partial foot prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",177,253
"05_062406036_0135_1_2","ankle disarticulation prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",178,254
"05_062409037_0135_1_2","trans-tibial prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",179,255
"05_062415038_0135_1_2","trans-femoral prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",180,256
"05_062418039_0135_1_2","hip disarticulation prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",181,257
"05_062421040_0135_1_2","trans-pelvic prostheses","","Assistive technology","Each","EA","Y","Y","","","N","N",182,258
"05_062488034_0135_1_2","lower limb prostheses - other","","Assistive technology","Each","EA","Y","Y","","","N","N",183,259
"05_062488298_0135_1_2","specialist prosthetic lower limb for sports","","Assistive technology","Each","EA","Y","Y","","","N","N",184,260
"05_062488299_0135_1_2","prosthetic lower limb suitable for wet environments","","Assistive technology","Each","EA","Y","Y","","","N","N",185,261
"05_090603045_0103_1_2","helmets","protective helmet for people with seizures or falls etc","Assistive technology","Each","EA","N","N","","","N","N",186,262
"05_090703371_0109_1_2","wheelchair-based restraint system","","Assistive technology","Each","EA","Y","Y","","","N","N",187,263
"05_090900046_0103_1_2","one or more small devices to assist with dressing and undressing","one or more small devices to assist with dressing and undressing","Assistive technology","Each","EA","N","N","","","N","N",188,264
"05_091203047_0103_1_2","bedside commode adjustable folding","","Assistive technology","Each","EA","N","N","","","N","N",189,265
"05_091203048_0103_1_2","bedside commode adjustable height","","Assistive technology","Each","EA","N","N","","","N","N",190,266
"05_091203049_0103_1_2","bedside commode extra wide","","Assistive technology","Each","EA","N","N","","","N","N",191,267
"05_091203052_0103_1_2","mobile shower commode- self propel folding","","Assistive technology","Each","EA","Y","Y","","","N","N",193,268
"05_091203053_0103_1_2","mobile shower commode- low transporter","","Assistive technology","Each","EA","N","N","","","N","N",194,269
"05_091203054_0103_1_2","mobile shower commode- bari transporter- 550w","","Assistive technology","Each","EA","Y","Y","","","N","N",195,270
"05_091203055_0103_1_2","mobile shower commode- child transporter","","Assistive technology","Each","EA","Y","Y","","","N","N",196,271
"05_091203056_0103_1_2","mobile shower commode- child self propel","","Assistive technology","Each","EA","Y","Y","","","N","N",197,272
"05_091203057_0103_1_2","mobile shower commode- potty child","","Assistive technology","Each","EA","N","N","","","N","N",198,273
"05_091203058_0103_1_2","mobile shower commode- potty junior","","Assistive technology","Each","EA","N","N","","","N","N",199,274
"05_091203059_0103_1_2","mobile shower commode- transporter slide hi","","Assistive technology","Each","EA","N","N","","","N","N",200,275
"05_091203060_0103_1_2","mobile shower commode- specialised child with supports","","Assistive technology","Each","EA","Y","Y","","","N","N",201,276
"05_091212061_0103_1_2","toilet surround adjustable","","Assistive technology","Each","EA","N","N","","","N","N",202,277
"05_091212062_0103_1_2","toilet surround padded arms","","Assistive technology","Each","EA","N","N","","","N","N",203,278
"05_091218063_0103_1_2","raised toilet seats fixed to toilet","","Assistive technology","Each","EA","N","N","","","N","N",204,279
"05_091221064_0103_1_2","seat toilet raise adjustable","","Assistive technology","Each","EA","N","N","","","N","N",205,280
"05_091221065_0103_1_2","seat toilet raise adjustable wide","","Assistive technology","Each","EA","N","N","","","N","N",206,281
"05_091221066_0103_1_2","seat toilet raise folding","","Assistive technology","Each","EA","N","N","","","N","N",207,282
"05_091221067_0103_1_2","seat toilet raise - extra wide","seat toilet raise - extra wide","Assistive technology","Each","EA","N","N","","","N","N",208,283
"05_091224068_0103_1_2","arm and back supports mounted on toilet","","Assistive technology","Each","EA","N","N","","","N","N",209,284
"05_091225069_0103_1_2","arm supports and toilet back supports, free-standing","","Assistive technology","Each","EA","N","N","","","N","N",210,285
"05_093300317_0103_1_2","bathing care and grooming aids","","Assistive technology","Each","EA","N","N","","","N","N",211,286
"05_093303078_0103_1_2","bath support for child under 5","Postural support inserted into a bath or placed on a stand, for a child unable to sit unaided safely.","Assistive technology","Each","EA","N","N","","","N","N",212,287
"05_093303079_0103_1_2","bath support over 5 years","Postural support inserted into a bath or placed on a stand, for a participant unable to sit or recline unaided safely.","Assistive technology","Each","EA","N","N","","","N","N",213,288
"05_093304076_0103_1_2","bathboard plastic no handle","","Assistive technology","Each","EA","N","N","","","N","N",214,289
"05_093305077_0103_1_2","bath corner seat size 1","","Assistive technology","Each","EA","N","N","","","N","N",215,290
"05_093307070_0103_1_2","chair shower adjustable with arms wide","","Assistive technology","Each","EA","N","N","","","N","N",216,291
"05_093307071_0103_1_2","chair shower bariatric (>150kg)","","Assistive technology","Each","EA","N","N","","","N","N",217,292
"05_093307072_0103_1_2","chair shower swivel type","e.g. myco","Assistive technology","Each","EA","N","N","","","N","N",218,293
"05_093307073_0103_1_2","stool shower adjustable","","Assistive technology","Each","EA","N","N","","","N","N",219,294
"05_093307074_0103_1_2","stool shower adjustable with arms  and/or back","","Assistive technology","Each","EA","N","N","","","N","N",220,295
"05_093312075_0103_1_2","specialised shower trolley","","Assistive technology","Each","EA","Y","Y","","","N","N",221,296
"05_093312080_0103_1_2","change table- electronic","","Assistive technology","Each","EA","Y","Y","","","N","N",222,297
"05_093312081_0103_1_2","change table manual","","Assistive technology","Each","EA","Y","Y","","","N","N",223,298
"05_093318082_0103_1_2","bidets- detachable","equipment attached to toilet with air and water dispenser for washing following toileting","Assistive technology","Each","EA","N","N","","","N","N",224,299
"05_093327083_0103_1_2","insert for reducing length or depth of a bathtub","","Assistive technology","Each","EA","Y","Y","","","N","N",225,300
"05_093330084_0103_1_2","specialised seating for bathroom equipment","custom made seating for shower commode or like bathroom item.","Assistive technology","Each","EA","N","N","","","N","N",226,301
"05_098800044_0103_1_2","personal care and safety equipment- other","Includes other reasonable and necessary personal care and safety equipment not listed, due to impact of participant's disability.","Assistive technology","Each","EA","Y","Y","","","N","N",227,302
"05_120303085_0105_1_2","walking sticks and canes","","Assistive technology","Each","EA","N","N","","","N","N",228,303
"05_120303086_0105_1_2","quadrapod walking stick","","Assistive technology","Each","EA","N","N","","","N","N",229,304
"05_120306087_0105_1_2","elbow crutches","","Assistive technology","Each","EA","N","N","","","N","N",230,305
"05_120309088_0105_1_2","forearm support crutches","","Assistive technology","Each","EA","N","N","","","N","N",231,306
"05_120603089_0105_1_2","walking frame","","Assistive technology","Each","EA","N","N","","","N","N",232,307
"05_120603090_0105_1_2","walking frame- bariatric 180 kg","","Assistive technology","Each","EA","N","N","","","N","N",233,308
"05_120606091_0105_1_2","wheeled walker - with frame bariatric","Wheeled walker with frame for a participant with an increased weight in obese range.","Assistive technology","Each","EA","N","N","","","N","N",234,309
"05_120606095_0105_1_2","wheeled walker-walker posterior","","Assistive technology","Each","EA","Y","Y","","","N","N",238,310
"05_120606096_0105_1_2","four wheeled walker with brakes and seat","","Assistive technology","Each","EA","N","N","","","N","N",239,311
"05_120606097_0105_1_2","rollator- mini","rollator- mini","Assistive technology","Each","EA","N","N","","","N","N",240,312
"05_120609099_0105_1_2","walking chairs for children aka gait trainers","devices with a sling or seat that support the body when walking","Assistive technology","Each","EA","Y","Y","","","N","N",242,313
"05_120612100_0105_1_2","walking tables","devices with wheels and supporting table or forearm support","Assistive technology","Each","EA","N","N","","","N","N",243,314
"05_121204356_0109_1_2","adaptions to control speed of car","","Assistive technology","Each","EA","Y","Y","","","N","N",244,315
"05_121205357_0109_1_2","adapted brake/parking brake","","Assistive technology","Each","EA","Y","Y","","","N","N",245,316
"05_121207358_0109_1_2","adapted steering system for car","","Assistive technology","Each","EA","Y","Y","","","N","N",246,317
"05_121208359_0109_1_2","adapted mirrors, door locks for car","","Assistive technology","Each","EA","Y","Y","","","N","N",247,318
"05_121209360_0109_1_2","seat belts/harnesses for vehicles","","Assistive technology","Each","EA","N","N","","","N","N",248,319
"05_121212355_0109_1_2","specialised child car seats","","Assistive technology","Each","EA","Y","Y","","","N","N",249,320
"05_121212361_0109_1_2","adapted seating in vehicles","","Assistive technology","Each","EA","Y","Y","","","N","N",250,321
"05_121215362_0109_1_2","vehicle hoists person only","","Assistive technology","Each","EA","Y","Y","","","N","N",251,322
"05_121218363_0109_1_2","vehicle adaption for wheelchair passenger","Hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required","Assistive technology","Each","EA","Y","Y","","","N","N",252,323
"05_121218364_0109_1_2","adapt vehicle self driver+ wheelchair","Remote access, basic self drive plus vehicle hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required","Assistive technology","Each","EA","Y","Y","","","N","N",253,324
"05_121218365_0109_1_2","adapt car self-drive electro mechanical","Costs related to installing self-drive equipment. Includes installation automated doors, wheelchair docking, adaptions to steering, brake, gears and installation of electro mechanical controls.","Assistive technology","Each","EA","Y","Y","","","N","N",254,325
"05_121218366_0109_1_2","car modifications - self drive from driver seat","Includes spinners and accelerator control.","Assistive technology","Each","EA","Y","Y","","","N","N",255,326
"05_121221354_0109_1_2","ramps to place wheelchair in vehicle without occupant","","Assistive technology","Each","EA","N","N","","","N","N",256,327
"05_121221367_0109_1_2","car mounted hoist for wheelchair or scooter","Electronic or mechanical hoist mounted to car to lift wheelchair or scooter for transport.","Assistive technology","Each","EA","Y","Y","","","N","N",257,328
"05_121224368_0109_1_2","tie downs for vehicle","system to hold a wheelchair safely and steady whilst in transit- not for restraining the occupant","Assistive technology","Each","EA","N","N","","","N","N",258,329
"05_121227369_0109_1_2","adapt vehicle chassis and body","","Assistive technology","Each","EA","Y","Y","","","N","N",259,330
"05_121230370_0109_1_2","trailers to carry wheelchairs","","Assistive technology","Each","EA","Y","Y","","","N","N",260,331
"05_121805101_0112_1_2","hand-propelled bicycles","","Assistive technology","Each","EA","Y","Y","","","N","N",261,332
"05_121806409_0112_1_2","specialist tricycles or quadricycle - foot propelled","specialist tricycles or quadricycle - foot propelled","Assistive technology","Each","EA","Y","Y","","","N","N",262,333
"05_121809102_0112_1_2","specialist tricycles or quadricycle - hand propelled","","Assistive technology","Each","EA","Y","Y","","","N","N",263,334
"05_121821103_0112_1_2","disability specific cycle adaptions","","Assistive technology","Each","EA","Y","Y","","","N","N",264,335
"05_122203104_0105_1_2","wheelchair- manually propelled- average folding","","Assistive technology","Each","EA","N","N","","","N","N",265,336
"05_122203105_0105_1_2","wheelchair- manual- basic folding adult","","Assistive technology","Each","EA","N","N","","","N","N",266,337
"05_122203106_0105_1_2","wheelchair- manual transit adult","Wheelchairs that cannot be self-propelled, so are propelled by an attendant.","Assistive technology","Each","EA","N","N","","","N","N",267,338
"05_122203107_0105_1_2","wheelchair- manual child folding","","Assistive technology","Each","EA","Y","Y","","","N","N",268,339
"05_122203108_0105_1_2","wheelchair- manual custom adult folding","frame is made to individual measurements","Assistive technology","Each","EA","Y","Y","","","N","N",269,340
"05_122203110_0105_1_2","wheelchair- manual custom adult bariatric","Manual wheelchair for person with increased weight in obese range.","Assistive technology","Each","EA","Y","Y","","","N","N",271,341
"05_122203111_0105_1_2","wheelchair- manual custom adult rigid frame","frame is made to individual measurements","Assistive technology","Each","EA","Y","Y","","","N","N",272,342
"05_122203112_0105_1_2","wheelchair- manual custom made steel frame","frame is made to individual measurements","Assistive technology","Each","EA","Y","Y","","","N","N",273,343
"05_122203113_0105_1_2","wheelchair- manual custom made lightweight frame","Frame that is made to individual measurements. Made of titanium, aluminium or other lightweight material.","Assistive technology","Each","EA","Y","Y","","","N","N",274,344
"05_122203114_0105_1_2","wheelchair- manual custom child rigid frame","frame is made to individual measurements","Assistive technology","Each","EA","Y","Y","","","N","N",275,345
"05_122203115_0105_1_2","wheelchair- manual tilt in space- adult","Manual frame with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","EA","Y","Y","","","N","N",276,346
"05_122203117_0105_1_2","wheelchair- manual + customised seating","wheelchair and customised seating","Assistive technology","Each","EA","Y","Y","","","N","N",278,347
"05_122203118_0105_1_2","wheelchair- manual amputee","Manual wheelchair. For example, balanced for lower limb amputee.","Assistive technology","Each","EA","Y","Y","","","N","N",279,348
"05_122203291_0112_1_2","wheelchair - track racing","","Assistive technology","Each","EA","Y","Y","","","N","N",280,351
"05_122209119_0105_1_2","wheelchair- manual- one arm drive/lever","manual wheelchair propelled by lever or dual hand rims","Assistive technology","Each","EA","Y","Y","","","N","N",281,352
"05_122212120_0105_1_2","wheelchair- manual + power assisted wheels","manual wheelchair with powered wheels that amplify pushing effort","Assistive technology","Each","EA","Y","Y","","","N","N",282,353
"05_122218293_0112_1_2","wheelchair - beach/sand capable - push","","Assistive technology","Each","EA","Y","Y","","","N","N",283,354
"05_122303121_0105_1_2","scooters- 3 wheels","","Assistive technology","Each","EA","Y","Y","","","N","N",284,355
"05_122303122_0105_1_2","scooters- 4 wheels","","Assistive technology","Each","EA","Y","Y","","","N","N",285,356
"05_122303123_0105_1_2","scooters- 4 wheels heavy duty","","Assistive technology","Each","EA","Y","Y","","","N","N",286,357
"05_122306124_0105_1_2","wheelchair- powered basic adult folding RWD","Rear wheel drive power chair which folds when disassembled.","Assistive technology","Each","EA","Y","Y","","","N","N",287,358
"05_122306125_0105_1_2","wheelchair- powered basic adult RWD","rear wheel drive","Assistive technology","Each","EA","Y","Y","","","N","N",288,359
"05_122306127_0105_1_2","wheelchair- powered basic child RWD","rear wheel drive","Assistive technology","Each","EA","Y","Y","","","N","N",290,360
"05_122306129_0105_1_2","wheelchair- powered tilt in space adult RWD","rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","EA","Y","Y","","","N","N",292,361
"05_122306131_0105_1_2","wheelchair- powered with powered recline or leg elevation","","Assistive technology","Each","EA","Y","Y","","","N","N",294,362
"05_122306132_0105_1_2","wheelchair- powered tilt in space child RWD","rear wheel drive with seat and back rest able to be tipped as a unit past 90 degrees","Assistive technology","Each","EA","Y","Y","","","N","N",295,363
"05_122306134_0105_1_2","wheelchair- powered TIS, recline adult RWD","Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.","Assistive technology","Each","EA","Y","Y","","","N","N",297,364
"05_122306136_0105_1_2","wheelchair- powered TIS, recline child RWD","Rear wheel drive with seat and back rest, able to be tipped as a unit past 90 degrees.","Assistive technology","Each","EA","Y","Y","","","N","N",299,365
"05_122306138_0105_1_2","wheelchair- powered with powered seat elevation","","Assistive technology","Each","EA","Y","Y","","","N","N",301,366
"05_122306139_0105_1_2","wheelchair- powered with powered standing mechanism","","Assistive technology","Each","EA","Y","Y","","","N","N",302,367
"05_122306140_0105_1_2","wheelchair- powered four wheel drive wheelchair","","Assistive technology","Each","EA","Y","Y","","","N","N",303,368
"05_122306141_0105_1_2","wheelchair- powered - bariatric over 200kg","Powered wheelchair for person with increased weight in obese range.","Assistive technology","Each","EA","Y","Y","","","N","N",304,369
"05_122312142_0105_1_2","wheelchair- powered attendant controlled","powered chair with attendant control instead of or as well as participant control","Assistive technology","Each","EA","Y","Y","","","N","N",305,370
"05_122315143_0105_1_2","wheelchair- powered stair climbing","","Assistive technology","Each","EA","Y","Y","","","N","N",306,371
"05_122403144_0105_1_2","wheelchair alternate controls","controls other than joy stick","Assistive technology","Each","EA","Y","Y","","","N","N",307,372
"05_122707145_0105_1_2","pram or stroller accessories - extra supports, oversized pram","","Assistive technology","Each","EA","Y","Y","","","N","N",308,373
"05_122707146_0105_1_2","pram or stroller- oversized","","Assistive technology","Each","EA","N","N","","","N","N",309,374
"05_122707147_0105_1_2","pram or stroller- specialised with adjustable seating","","Assistive technology","Each","EA","Y","Y","","","N","N",310,375
"05_122707148_0105_1_2","alternate base for stroller","Hi lo or other base for specialised stroller seating","Assistive technology","Each","EA","Y","Y","","","N","N",311,376
"05_122715149_0105_1_2","crawlers and mobility boards","floor level cart or wheel device for floor mobility","Assistive technology","Each","EA","Y","Y","","","N","N",312,377
"05_122718150_0105_1_2","wheeled stretcher- self propelled","","Assistive technology","Each","EA","Y","Y","","","N","N",313,378
"05_123103151_0105_1_2","transfer equipment- slide sheet","","Assistive technology","Each","EA","N","N","","","N","N",314,379
"05_123103152_0105_1_2","board transfer wood","","Assistive technology","Each","EA","N","N","","","N","N",315,380
"05_123103153_0105_1_2","car transfer pad","","Assistive technology","Each","EA","N","N","","","N","N",316,381
"05_123106154_0105_1_2","transfer turn table","","Assistive technology","Each","EA","N","N","","","N","N",317,382
"05_123109155_0103_1_2","bed sticks- standard","","Assistive technology","Each","EA","N","N","","","N","N",318,383
"05_123109156_0103_1_2","bed sticks-townsend long","","Assistive technology","Each","EA","N","N","","","N","N",319,384
"05_123109157_0103_1_2","bed pole for electric bed","","Assistive technology","Each","EA","N","N","","","N","N",320,385
"05_123112158_0105_1_2","grip ladder","","Assistive technology","Each","EA","N","N","","","N","N",321,386
"05_123115159_0105_1_2","transfer belt","","Assistive technology","Each","EA","N","N","","","N","N",322,387
"05_123121160_0103_1_2","bath transfer bench no back","","Assistive technology","Each","EA","N","N","","","N","N",323,388
"05_123603161_0105_1_2","hoist mobile - bariatric (> 150 kg)","","Assistive technology","Each","EA","Y","Y","","","N","N",324,389
"05_123603162_0105_1_2","sling - band, standard","","Assistive technology","Each","EA","N","N","","","N","N",325,390
"05_123603163_0105_1_2","sling - toileting (with/without head support)","","Assistive technology","Each","EA","N","N","","","N","N",326,391
"05_123603164_0105_1_2","sling - divided leg (with/without head support)","","Assistive technology","Each","EA","N","N","","","N","N",327,392
"05_123603165_0105_1_2","sling - full body","","Assistive technology","Each","EA","N","N","","","N","N",328,393
"05_123603166_0105_1_2","sling - specialist, including bariatric","","Assistive technology","Each","EA","N","N","","","N","N",329,394
"05_123604167_0105_1_2","hoist - mobile, standing position","","Assistive technology","Each","EA","Y","Y","","","N","N",330,395
"05_123606168_0105_1_2","hoist mobile, sitting position solid seat","","Assistive technology","Each","EA","Y","Y","","","N","N",331,396
"05_123612169_0105_1_2","hoist- fixed to wall floor or ceiling","","Assistive technology","Each","EA","Y","Y","","","N","N",332,397
"05_123903170_0113_1_2","tactile sticks or white canes","","Assistive technology","Each","EA","N","N","","","N","N",333,398
"05_123906171_0113_1_2","assistive products for electronic orientation","Ultra sonic sensing devices to assist orientation","Assistive technology","Each","EA","N","N","","","N","N",334,399
"05_123909172_0113_1_2","assistive products for acoustic navigation","Devices that give auditory prompts to assist with navigation.","Assistive technology","Each","EA","Y","Y","","","N","N",335,400
"05_123915173_0113_1_2","tactile maps","","Assistive technology","Each","EA","N","N","","","N","N",336,401
"05_150300318_0103_1_2","one or more small devices to assist with food and drink preparations","Includes adapted cooking utensils and basic appliances.","Assistive technology","Each","EA","N","N","","","N","N",337,402
"05_150600320_0123_1_2","one or more assistive devices to assist with dishwashing","Adapted dish cloths, utensils, detergent dispensers etc.","Assistive technology","Each","EA","N","N","","","N","N",338,403
"05_150900319_0103_1_2","one or more assistive products for eating and drinking","Adapted cups, spoons, cutlery and other assistive products for eating and drinking.","Assistive technology","Each","EA","N","N","","","N","N",339,404
"05_158800321_0123_1_2","other assistive equipment for household tasks","Equipment specially selected due to the persons disability that enables them to perform household tasks like cleaning or maintenance","Assistive technology","Each","EA","N","N","","","N","N",340,405
"05_177_0119_1_2","Hearing services program child under 4 yrs (AH only)","Hearing services program child under 4 yrs (AH only)","Assistive technology","Each","EA","N","N","","","N","N",341,406
"05_178_0119_1_2","Hearing services program child under 4 yrs (AH only) remote","Hearing services program child under 4 yrs (AH only) remote","Assistive technology","Each","EA","N","N","","","N","N",342,407
"05_180315322_0103_1_2","over bed table","","Assistive technology","Each","EA","N","N","","","N","N",343,408
"05_180903180_0103_1_2","electric lift chairs- sit to stand","Chairs with an in built mechanical or electric system to assist participant in movement to a standing position.","Assistive technology","Each","EA","Y","Y","","","N","N",344,409
"05_180921181_0103_1_2","lounge chairs with moulded seating","custom fit seating for people with body shape or pressure care needs to accommodate","Assistive technology","Each","EA","Y","Y","","","N","N",345,410
"05_180939182_0105_1_2","modular seating systems","custom fit seating for people with body shape or pressure care needs to accommodate","Assistive technology","Each","EA","Y","Y","","","N","N",346,411
"05_180939183_0103_1_2","adult postural chair with pressure relief- air type","custom fit seating for people with body shape or pressure care needs to accommodate","Assistive technology","Each","EA","Y","Y","","","N","N",347,412
"05_180939184_0103_1_2","child postural chair with pressure relief- air type","custom fit seating for people with body shape or pressure care needs to accommodate","Assistive technology","Each","EA","Y","Y","","","N","N",348,413
"05_181003192_0105_1_2","customised backrest","back rest with components individually aligned for participant","Assistive technology","Each","EA","Y","Y","","","N","N",351,415
