Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_101_0104_6_1,"Access Community, Social And Rec Activities- Ratio 1:1- Complex- Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,50.52,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_102_0125_6_1,"Access Community, Social And Rec Activities- Ratio 1:1- Standard- Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,104.2,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_103_0125_6_1,"Access Community, Social And Rec Activities-Ratio 1:1- Standard- Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,53.64,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_104_0125_6_1,"Access Community, Social And Rec Activities-Ratio 1:1- Standard- Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,49.02,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_105_0125_6_1,"Access Community, Social And Rec Activities - Ratio 1:1 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,67.43,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_106_0125_6_1,"Access Community, Social And Rec Activities - Ratio 1:1 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,85.8,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_107_0136_6_1,Group Based Activities In A Centre - Flat - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,21.79,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_108_0136_6_1,Group Based Activities In A Centre - Flat - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,31.94,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_109_0136_6_1,Group Based Activities In A Centre - Flat - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,40.84,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_110_0136_6_1,Group Based Activities In A Centre - Flat - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,23.92,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_111_0136_6_1,Group Based Activities In The Community - Ratio 1:2 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,27.45,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_112_0136_6_1,Group Based Activities In The Community - Ratio 1:2 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,37.76,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_113_0136_6_1,Group Based Activities In The Community - Ratio 1:2 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,48.05,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_114_0136_6_1,Group Based Activities In The Community - Ratio 1:2 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,30.04,Y,Assistance with social and community participation,04
"Participation In Community, Social And Civic Activities",04_115_0125_6_1,"Community, Social And Recreational Activities","Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",YR,N,,N,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_116_0104_6_1,Group Based Activities In The Community - Ratio 1:2 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,29.75,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_117_0104_6_1,Group Based Activities In The Community - Ratio 1:2 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,42.9,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_118_0104_6_1,Group Based Activities In The Community - Ratio 1:2 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,57.18,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_119_0104_6_1,Group Based Activities In The Community - Ratio 1:2 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,32.65,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_120_0136_6_1,Group Based Activities In The Community - Ratio 1:3 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,20.26,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_121_0136_6_1,Group Based Activities In The Community - Ratio 1:3 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,27.87,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_122_0136_6_1,Group Based Activities In The Community - Ratio 1:3 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,35.46,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_123_0136_6_1,Group Based Activities In The Community - Ratio 1:3 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,22.17,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_124_0104_6_1,Group Based Activities In The Community - Ratio 1:3 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,21.96,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_125_0104_6_1,Group Based Activities In The Community - Ratio 1:3 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,31.66,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_126_0104_6_1,Group Based Activities In The Community - Ratio 1:3 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,42.2,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_127_0104_6_1,Group Based Activities In The Community - Ratio 1:3 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,24.1,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_128_0136_6_1,Group Based Activities In The Community - Ratio 1:2 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,58.35,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_129_0136_6_1,Group Based Activities In The Community - Ratio 1:3 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,43.06,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_130_0104_6_1,Group Based Activities In The Community - Ratio 1:2 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,63.24,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_131_0104_6_1,Group Based Activities In The Community - Ratio 1:3 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,46.67,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_136_0136_6_1,Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,16.67,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_137_0136_6_1,Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,18.23,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_138_0136_6_1,Group Based Activities In The Community - Ratio 1:4 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,22.92,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_139_0136_6_1,Group Based Activities In The Community - Ratio 1:4 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,29.17,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_140_0136_6_1,Group Based Activities In The Community - Ratio 1:4 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,35.42,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_141_0136_6_1,Group Based Activities In The Community - Ratio 1:5 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,14.51,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_142_0136_6_1,Group Based Activities In The Community - Ratio 1:5 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,15.87,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_143_0136_6_1,Group Based Activities In The Community - Ratio 1:5 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,19.96,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_144_0136_6_1,Group Based Activities In The Community - Ratio 1:5 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,25.39,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_145_0136_6_1,Group Based Activities In The Community - Ratio 1:5 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,N,30.84,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_146_0104_6_1,Group Based Activities In The Community - Ratio 1:4 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,18.06,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_147_0104_6_1,Group Based Activities In The Community - Ratio 1:4 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,19.82,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_148_0104_6_1,Group Based Activities In The Community - Ratio 1:4 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,26.04,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_149_0104_6_1,Group Based Activities In The Community - Ratio 1:4 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,34.71,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_150_0104_6_1,Group Based Activities In The Community - Ratio 1:4 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,38.39,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_151_0104_6_1,Group Based Activities In The Community - Ratio 1:5 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,15.72,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_152_0104_6_1,Group Based Activities In The Community - Ratio 1:5 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,17.26,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_153_0104_6_1,Group Based Activities In The Community - Ratio 1:5 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,22.67,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_154_0104_6_1,Group Based Activities In The Community - Ratio 1:5 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,30.22,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_155_0104_6_1,Group Based Activities In The Community - Ratio 1:5 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,33.42,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_160_0136_6_1,Group Based Activities In A Centre - Ratio 1:1 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,51.17,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_161_0136_6_1,Group Based Activities In A Centre - Ratio 1:1 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,55.79,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_162_0136_6_1,Group Based Activities In A Centre - Ratio 1:1 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,69.58,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_163_0136_6_1,Group Based Activities In A Centre - Ratio 1:1 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,87.95,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_164_0136_6_1,Group Based Activities In A Centre - Ratio 1:1 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,106.35,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_165_0136_6_1,Group Based Activities In A Centre - Ratio 1:2 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,29.6,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_166_0136_6_1,Group Based Activities In A Centre - Ratio 1:2 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,32.19,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_167_0136_6_1,Group Based Activities In A Centre - Ratio 1:2 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,39.91,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_168_0136_6_1,Group Based Activities In A Centre - Ratio 1:2 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,50.2,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_169_0136_6_1,Group Based Activities In A Centre - Ratio 1:2 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,60.5,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_170_0136_6_1,Group Based Activities In A Centre - Ratio 1:3 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,22.41,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_171_0136_6_1,Group Based Activities In A Centre - Ratio 1:3 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,24.32,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_172_0136_6_1,Group Based Activities In A Centre - Ratio 1:3 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,30.02,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_173_0136_6_1,Group Based Activities In A Centre - Ratio 1:3 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,37.61,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_174_0136_6_1,Group Based Activities In A Centre - Ratio 1:3 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,45.22,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_175_0136_6_1,Group Based Activities In A Centre - Ratio 1:4 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,18.82,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_176_0136_6_1,Group Based Activities In A Centre - Ratio 1:4 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,20.39,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_177_0136_6_1,Group Based Activities In A Centre - Ratio 1:4 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,25.08,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_178_0136_6_1,Group Based Activities In A Centre - Ratio 1:4 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,31.32,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_179_0136_6_1,Group Based Activities In A Centre - Ratio 1:4 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,37.58,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_180_0136_6_1,Group Based Activities In A Centre - Ratio 1:5 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,16.66,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_181_0136_6_1,Group Based Activities In A Centre - Ratio 1:5 - Standard - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,18.03,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_182_0136_6_1,Group Based Activities In A Centre - Ratio 1:5 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,22.11,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_183_0136_6_1,Group Based Activities In A Centre - Ratio 1:5 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,27.55,Y,Assistance with social and community participation,04
Group And Centre Based Activities,04_184_0136_6_1,Group Based Activities In A Centre - Ratio 1:5 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.",H,N,32.99,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_185_0104_6_1,Group Based Activities In A Centre - Ratio 1:1 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,52.62,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_186_0104_6_1,Group Based Activities In A Centre - Ratio 1:1 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,57.38,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_187_0104_6_1,Group Based Activities In A Centre - Ratio 1:1 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,71.59,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_188_0104_6_1,Group Based Activities In A Centre - Ratio 1:1 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,90.52,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_189_0104_6_1,Group Based Activities In A Centre - Ratio 1:1 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,109.43,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_190_0104_6_1,Group Based Activities In A Centre - Ratio 1:2 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,31.85,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_191_0104_6_1,Group Based Activities In A Centre - Ratio 1:2 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,34.75,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_192_0104_6_1,Group Based Activities In A Centre - Ratio 1:2 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,45,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_193_0104_6_1,Group Based Activities In A Centre - Ratio 1:2 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,59.28,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_194_0104_6_1,Group Based Activities In A Centre - Ratio 1:2 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,65.34,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_195_0104_6_1,Group Based Activities In A Centre - Ratio 1:3 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,24.06,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_196_0104_6_1,Group Based Activities In A Centre - Ratio 1:3 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,26.2,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_197_0104_6_1,Group Based Activities In A Centre - Ratio 1:3 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,33.77,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_198_0104_6_1,Group Based Activities In A Centre - Ratio 1:3 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,44.31,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_199_0104_6_1,Group Based Activities In A Centre - Ratio 1:3 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,48.78,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_200_0104_6_1,Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,20.16,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_201_0104_6_1,Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,21.92,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_202_0104_6_1,Group Based Activities In A Centre - Ratio 1:4 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,28.15,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_203_0104_6_1,Group Based Activities In A Centre - Ratio 1:4 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,36.82,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_204_0104_6_1,Group Based Activities In A Centre - Ratio 1:4 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,40.49,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_205_0104_6_1,Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,17.83,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_206_0104_6_1,Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,19.36,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_207_0104_6_1,Group Based Activities In A Centre - Ratio 1:5 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,24.78,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_208_0104_6_1,Group Based Activities In A Centre - Ratio 1:5 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,32.32,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_209_0104_6_1,Group Based Activities In A Centre - Ratio 1:5 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,35.52,Y,Assistance with social and community participation,04
Assistive Products For Personal Care And Safety,05_043006001_0103_1_2,Cooling Vest - All Sizes,Vest used for people with thermoregulatory problems,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_043306002_0103_1_2,Pressure Mattress Air Filled Section,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_043306003_0103_1_2,Pressure Reduction Mattress,Mattress with pressure reduction properties,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_043306004_0103_1_2,Pressure Reduction Overlay,"Overlay with air or other substance, mechanical or not",EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_043306005_0103_1_2,"Pressure Mattress - Low Air Loss, Alternating Pressure","Mattress for very complex needs, usually for participants in bed for most of the day and night.",EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_043318006_0103_1_2,Water Chairs,Chairs with full pressure relief via water filled inserts,EA,Y,,N,Assistive technology,05
